Variable,Chi-Square,p-value,Degrees of Freedom
Place,41.564039408866996,1.1407234281640708e-10,1
Cultural,60.71858691288639,6.5845493588483256e-15,1
Religious,121.69540229885055,2.691435226918537e-28,1
Desert,45.063239494084044,1.9077311692339538e-11,1
Nature,33.476305052829794,7.213749130627594e-09,1
Wildlife,111.40270572678263,4.829336085456133e-26,1
Architecture,92.93538337855492,5.4029860903779005e-22,1
Megaevents,95.83333333333334,1.2497369793587377e-22,1
Leisure,50.612410162971955,1.1253122182524069e-12,1

